SKU,Title,Description,Cost,Date Bought,Company Name,Location Bought,Auction Date,Image Count
A-1001,DeWalt 20V MAX Cordless Drill Kit,Includes drill/driver with 2 lithium-ion batteries and charger. Lightly used.,42.00,3/5/2026,DeWalt Returns,Chicago IL,2/28/2026 - 3/3/2026,4
A-1002,Samsung 55" 4K Smart TV,Minor scuff on bezel. Remote included. Powers on and displays correctly.,185.00,3/5/2026,Samsung Liquidation,Chicago IL,2/28/2026 - 3/3/2026,6
A-1003,KitchenAid Stand Mixer 5qt,Tilt-head mixer in red. Bowl and dough hook present. Motor works.,95.00,3/5/2026,KitchenAid Returns,Chicago IL,2/28/2026 - 3/3/2026,5
A-1004,Apple iPad 9th Gen 64GB,Cracked screen. Boots and connects to Wi-Fi. No charger included.,38.00,3/5/2026,Apple Overstock,Chicago IL,2/28/2026 - 3/3/2026,3
A-1005,Dyson V11 Cordless Vacuum,Missing one attachment. Battery holds charge. Suction strong.,110.00,3/5/2026,Dyson Liquidation,Chicago IL,2/28/2026 - 3/3/2026,5
A-1006,Instant Pot Duo 8qt Pressure Cooker,New in open box. All accessories present.,28.00,3/5/2026,Instant Pot Returns,Chicago IL,2/28/2026 - 3/3/2026,3
A-1007,Ninja Air Fryer XL 5.5qt,Used. Basket has minor staining. Heats up and timer works.,22.00,3/5/2026,Ninja Returns,Chicago IL,2/28/2026 - 3/3/2026,3
A-1008,Lego Technic Bugatti Chiron Set,Sealed box. Box has shelf wear on corners.,65.00,3/5/2026,Toy Liquidators,Chicago IL,2/28/2026 - 3/3/2026,2
A-1009,Bose QuietComfort 45 Headphones,Tested. Noise cancellation works. Ear pads slightly worn.,72.00,3/5/2026,Bose Overstock,Chicago IL,2/28/2026 - 3/3/2026,4
A-1010,Roomba i3 Robot Vacuum,Charging base included. Dustbin and filter present. Fully functional.,58.00,3/5/2026,iRobot Liquidation,Chicago IL,2/28/2026 - 3/3/2026,4
B-2001,Weber Spirit II E-310 Gas Grill,Display model. Grates show use. Igniter clicks.,220.00,3/12/2026,Weber Liquidation,Milwaukee WI,3/9/2026 - 3/11/2026,7
B-2002,Trek FX 3 Disc Hybrid Bike,Size M. Some scratches on frame. Brakes and gears shift smoothly.,310.00,3/12/2026,Bike Overstock,Milwaukee WI,3/9/2026 - 3/11/2026,6
B-2003,Traeger Pro 575 Pellet Grill,Missing grease bucket. Otherwise complete. Auger tested and works.,280.00,3/12/2026,BBQ Liquidators,Milwaukee WI,3/9/2026 - 3/11/2026,5
B-2004,Greenworks 40V Lawn Mower,Battery not included. Blade in good condition. Self-propel works.,88.00,3/12/2026,Greenworks Returns,Milwaukee WI,3/9/2026 - 3/11/2026,4
B-2005,Craftsman 7-Drawer Tool Chest,Some drawers stick. Ball-bearing slides present. Keys included.,145.00,3/12/2026,Craftsman Liquidation,Milwaukee WI,3/9/2026 - 3/11/2026,5
B-2006,Sony PlayStation 5 Disc Edition,Controller included. Boots to home screen. No games.,320.00,3/12/2026,Sony Overstock,Milwaukee WI,3/9/2026 - 3/11/2026,3
B-2007,Vitamix 5200 Blender,Tamper included. Container has minor cloudiness. Motor strong.,88.00,3/12/2026,Vitamix Returns,Milwaukee WI,3/9/2026 - 3/11/2026,4
B-2008,Ring Video Doorbell Pro 2,Open box. All mounting hardware present. App pairs successfully.,62.00,3/12/2026,Ring Liquidation,Milwaukee WI,3/9/2026 - 3/11/2026,3
B-2009,Breville Barista Express Espresso Machine,Grinder works. Steam wand present. Water tank intact. Cosmetic scratches.,195.00,3/12/2026,Breville Returns,Milwaukee WI,3/9/2026 - 3/11/2026,6
B-2010,Nikon D3500 DSLR Camera Body,Shutter count ~4200. Kit lens not included. Sensor clean.,148.00,3/12/2026,Camera Liquidators,Milwaukee WI,3/9/2026 - 3/11/2026,5
